short_name,long_name,age,dob,height_cm,weight_kg,nationality,club
N. Zaniolo,Nicolò Zaniolo,19,1999-07-02,190,79,Italy,Roma
C. Hudson-Odoi,Callum Hudson-Odoi,18,2000-11-07,177,75,England,Chelsea
J. David,Jonathan David,19,2000-01-14,177,77,Canada,KAA Gent
G. Chakvetadze,Giorgi Chakvetadze,19,1999-08-29,178,75,Georgia,KAA Gent
I. Hagi,Ianis Hagi,20,1998-10-22,180,70,Romania,KRC Genk
Aleix García,Aleix García Serrano,22,1997-06-28,173,68,Spain,Manchester City
N. Benedetti,Nicolás Benedetti Roa,22,1997-04-25,177,70,Colombia,Club América
D. Sow,Djibril Sow,22,1997-02-06,184,77,Switzerland,Eintracht Frankfurt
V. Osimhen,Victor James Osimhen,20,1998-12-29,185,78,Nigeria,LOSC Lille
H. Wolf,Hannes Wolf,20,1999-04-16,179,69,Austria,RB Leipzig
J. Foyth,Juan Marcos Foyth,21,1998-01-12,187,69,Argentina,Tottenham Hotspur
M. Demiral,Merih Demiral,21,1998-03-05,192,85,Turkey,Juventus
O. Kabak,Ozan Muhammed Kabak,19,2000-03-25,186,80,Turkey,FC Schalke 04
Matheus Cunha,Matheus Santos Carneiro Da Cunha,20,1999-05-27,184,75,Brazil,RB Leipzig
Z. Vanheusden,Zinho Vanheusden,19,1999-07-29,186,82,Belgium,Standard de Liège
M. Diaby,Moussa Diaby,19,1999-07-07,170,65,France,Bayer 04 Leverkusen
D. McNeil,Dwight McNeil,19,1999-11-22,183,68,England,Burnley
I. Bennacer,Ismaël Bennacer,21,1997-12-01,173,64,Algeria,Milan
J. Reine-Adélaïde,Jeff Reine-Adélaïde,21,1998-01-17,184,75,France,Olympique Lyonnais
R. Doan,堂安 律,21,1998-06-16,172,70,Japan,FC Groningen
O. Edouard,Odsonne Edouard,21,1998-01-01,187,83,France,Celtic
L. Robertone,Lucas Robertone,22,1997-03-18,173,70,Argentina,Vélez Sarsfield
E. Barco,Ezequiel Barco,20,1999-03-29,165,65,Argentina,Atlanta United
Douglas Luiz,Douglas Luiz Soares de Paulo,21,1998-05-09,178,70,Brazil,Aston Villa
Rodrigo Becão,Rodrigo Nascimento França,23,1996-01-19,191,79,Brazil,Udinese
Adrià Pedrosa,Adrià Giner Pedrosa,21,1998-05-13,176,69,Spain,RCD Espanyol
A. Král,Alex Král,21,1998-05-19,186,80,Czech Republic,SK Slavia Praha
E. Cecchini,Emanuel Cecchini,22,1996-12-24,180,77,Argentina,Seattle Sounders FC
J. Barrera,Jarlan Barrera,23,1995-09-16,171,73,Colombia,Atlético Nacional
P. Diop,Pape Cheikh Diop Gueye,21,1997-08-08,180,68,Spain,RC Celta
H. Choudhury,Hamza Choudhury,21,1997-10-01,178,64,England,Leicester City
João Carvalho,João António Antunes Carvalho,22,1997-03-09,170,66,Portugal,Nottingham Forest
A. Ömür,Abdülkadir Ömür,20,1999-06-25,168,67,Turkey,Trabzonspor
A. Isak,Alexander Isak,19,1999-09-21,190,74,Sweden,Real Sociedad
O. Mangala,Orel Mangala,21,1998-03-18,178,78,Belgium,VfB Stuttgart
E. Reynoso,Emanuel Reynoso,23,1995-11-16,176,67,Argentina,Boca Juniors
R. Alvarado,Roberto Alvarado,20,1998-09-07,176,70,Mexico,Cruz Azul
M. Djenepo,Moussa Djenepo,21,1998-06-15,177,65,Mali,Southampton
L. Mothiba,Lebo Mothiba,23,1996-01-28,182,76,South Africa,RC Strasbourg Alsace
Bruno Xadas,Bruno Alexandre Vieira Almeida,21,1997-12-02,179,72,Portugal,SC Braga
M. Olivera,Mathías Olivera Miramontes,21,1997-10-31,184,78,Uruguay,Getafe CF
V. Shepelev,Volodymyr Shepelev,22,1997-06-01,184,73,Ukraine,Dynamo Kyiv
M. Loum,Mamadou Loum,22,1996-12-30,188,80,Senegal,FC Porto
Iago,Iago Amaral Borduchi,22,1997-03-23,181,68,Brazil,FC Augsburg
Róber,Roberto Suárez Pier,24,1995-02-16,182,74,Spain,Deportivo de La Coruña
Adama Traoré,Adama Traoré Diarra,23,1996-01-25,178,72,Spain,Wolverhampton Wanderers
P. Billing,Philip Billing,23,1996-06-11,197,80,Denmark,Bournemouth
Pablo Maffeo,Pablo Maffeo Becerra,21,1997-07-12,172,70,Spain,Girona FC
P. Roberts,Patrick Roberts,22,1997-02-05,170,66,England,Norwich City
A. Ajeti,Albian Ajeti,22,1997-02-26,183,78,Switzerland,West Ham United
K. Ajer,Kristoffer Vassbakk Ajer,21,1998-04-17,196,94,Norway,Celtic
O. Pineda,Orbelín Pineda Alvarado,23,1996-03-24,169,64,Mexico,Cruz Azul
A. Rossi,Agustín Daniel Rossi,23,1995-08-21,193,95,Argentina,Club Atlético Lanús
V. Kovalenko,Viktor Kovalenko,23,1996-02-14,182,75,Ukraine,Shakhtar Donetsk
Lato,Antonio Latorre Grueso,21,1997-11-21,171,64,Spain,PSV
C. Söyüncü,Çağlar Söyüncü,23,1996-05-23,185,82,Turkey,Leicester City
Joaquín,Joaquín Fernández Moreno,23,1996-05-31,190,75,Spain,Real Valladolid CF
J. Bijlow,Justin Bijlow,21,1998-01-22,188,76,Netherlands,Feyenoord
S. Villa,Sebastián Villa,23,1996-05-19,179,71,Colombia,Boca Juniors
Aleix Febas,Aleix Febas Pérez,23,1996-02-22,171,61,Spain,RCD Mallorca
S. Lammers,Sam Lammers,22,1997-04-30,189,77,Netherlands,PSV
S. Cáseres,Santiago Cáseres,22,1997-02-25,177,75,Argentina,Villarreal CF
M. Pongračić,Marin Pongračić,21,1997-09-11,190,95,Croatia,FC Red Bull Salzburg
Francis,Francisco Javier Guerrero Martín,23,1996-03-11,175,78,Spain,Real Betis
C. Musonda,Charly Musonda Junior,22,1996-10-15,173,66,Belgium,Vitesse
Lucas Torró,Lucas Torró Marset,24,1994-07-19,190,77,Spain,Eintracht Frankfurt
L. Giannetti,Lautaro Giannetti,25,1993-11-13,184,79,Argentina,Vélez Sarsfield
Marlon,Marlon da Silva Barbosa,23,1995-09-07,182,80,Brazil,Sassuolo
Pozo,José Ángel Pozo la Rosa,23,1996-03-15,170,65,Spain,Rayo Vallecano
O. McBurnie,Oliver McBurnie,23,1996-06-04,191,77,Scotland,Sheffield United
A. Cubas,Adrián Andrés Cubas,23,1996-05-11,169,60,Argentina,Club Atlético Talleres
C. Adams,Che Adams,22,1996-07-13,178,66,England,Southampton
E. Buendía,Emiliano Buendía,22,1996-12-25,170,65,Argentina,Norwich City
P. Cissé,Pape Abou Cissé,23,1995-09-14,197,90,Senegal,Olympiacos CFP
T. Cardona,Tomás Cardona,23,1995-10-10,186,76,Argentina,Godoy Cruz
M. Degenek,Miloš Degenek,25,1994-04-28,187,82,Australia,Australia
L. Rodríguez,Lucas Rodríguez,22,1997-04-27,168,64,Argentina,DC United
C. Bassogog,Christian Bassogog,23,1995-10-18,173,72,Cameroon,Henan Jianye FC
Ontiveros,Javier Ontiveros Parra,21,1997-09-09,172,75,Spain,Málaga CF
C. Awaziem,Chidozie Collins Awaziem,22,1997-01-01,189,78,Nigeria,CD Leganés
Pedro Rebocho,Pedro Miguel Braga Rebocho,24,1995-01-23,170,74,Portugal,Beşiktaş JK
S. Lukić,Saša Lukić,22,1996-08-13,183,77,Serbia,Torino
E. Löwen,Eduard Löwen,22,1997-01-28,188,91,Germany,Hertha BSC
J. Stephens,Jack Stephens,25,1994-01-27,185,75,England,Southampton
B. Petković,Bruno Petković,24,1994-09-16,193,88,Croatia,Dinamo Zagreb
A. Browne,Alan Browne,24,1995-04-15,173,71,Republic of Ireland,Preston North End
V. Cantillo,Víctor Danilo Cantillo Jiménez,25,1993-10-15,180,70,Colombia,Junior FC
S. Benrahma,Saïd Benrahma,23,1995-08-10,172,67,Algeria,Brentford
O. Watkins,Ollie Watkins,23,1995-12-30,180,70,England,Brentford
Unai López,Unai López Cabrera,23,1995-10-30,170,70,Spain,Athletic Club de Bilbao
Walace,Walace Souza Silva,24,1995-04-04,188,75,Brazil,Udinese
Pedro Nuno,Pedro Nuno Fernandes Ferreira,24,1995-01-13,176,68,Portugal,Moreirense FC
H. Diallo,Habib Diallo,24,1995-06-15,186,79,Senegal,FC Metz
K. Adams Nuhu,Kasim Adams Nuhu,24,1995-06-22,190,83,Ghana,Fortuna Düsseldorf
K. Walker-Peters,Kyle Walker-Peters,22,1997-04-13,174,64,England,Tottenham Hotspur
Francisco Geraldes,Francisco Geraldes,24,1995-04-18,175,62,Portugal,AEK Athens
B. Heynen,Bryan Heynen,22,1997-02-06,182,67,Belgium,KRC Genk
J. Aidoo,Joseph Aidoo,23,1995-09-29,180,80,Ghana,RC Celta
Waldo,Waldo Rubio Martin,23,1995-08-17,181,73,Spain,Real Valladolid CF
Pol Lirola,Pol Mikel Lirola Kosok,21,1997-08-13,183,75,Spain,Fiorentina
C. Goldson,Connor Goldson,26,1992-12-18,191,85,England,Rangers FC
F. Quignon,Facundo Tomás Quignón,26,1993-05-02,178,75,Argentina,Club Atlético Lanús
V. Verre,Valerio Verre,25,1994-01-11,181,70,Italy,Hellas Verona
K. Olsson,Kristoffer Olsson,24,1995-06-30,181,69,Sweden,Sweden
D. Kourmpelis,Dimitrios Kourmpelis,25,1993-11-02,181,74,Greece,Panathinaikos FC
Kévin Rodrigues,Kévin Manuel Rodrigues,25,1994-03-05,170,70,Portugal,Real Sociedad
I. Kutepov,Ilya Kutepov,25,1993-07-29,192,84,Russia,Spartak Moscow
R. Durmisi,Riza Durmisi,25,1994-01-08,168,67,Denmark,Lazio
J. O'Connell,Jack O'Connell,25,1994-03-29,191,85,England,Sheffield United
I. Lichnovsky,Igor Lichnovsky Osorio,25,1994-03-07,188,79,Chile,Cruz Azul
L. Romero,Lucas Romero,25,1994-04-18,167,67,Argentina,Independiente
J. Silva,Jonathan Silva,25,1994-06-29,178,72,Argentina,CD Leganés
A. El Ghazi,Anwar El Ghazi,24,1995-05-03,189,90,Netherlands,Aston Villa
G. Nkoudou,Georges-Kévin Nkoudou,24,1995-02-13,175,72,France,Tottenham Hotspur
R. Martínez,Roger Martínez,25,1994-06-23,180,86,Colombia,Club América
B. Zungu,Bongani Zungu,26,1992-10-09,184,76,South Africa,Amiens SC
J. Alonso,Junior Alonso,26,1993-02-09,184,82,Paraguay,Boca Juniors
A. Barreca,Antonio Barreca,24,1995-03-18,183,70,Italy,Genoa
V. Vada,Valentín Vada,23,1996-03-06,175,71,Argentina,FC Girondins de Bordeaux
R. Tapia,Renato Tapia,23,1995-07-28,185,78,Peru,Feyenoord
A. Masina,Adam Masina,25,1994-01-02,191,87,Italy,Watford
Caju,Wanderson de Jesus Martins,23,1995-07-17,185,78,Brazil,SC Braga
H. Preciado,Harold Fabián Preciado Villarreal,25,1994-06-01,182,70,Colombia,Shenzhen FC
J. St. Juste,Jeremiah St. Juste,22,1996-10-19,184,74,Netherlands,1. FSV Mainz 05
A. Touré,Almamy Touré,23,1996-04-28,183,72,Mali,Eintracht Frankfurt
William,William de Asevedo Furtado,24,1995-04-03,171,67,Brazil,VfL Wolfsburg
Gil Dias,Gil Bastião Dias,22,1996-09-28,183,78,Portugal,AS Monaco
R. Krunić,Rade Krunić,25,1993-10-07,184,74,Bosnia Herzegovina,Milan
P. Ševčík,Petr Ševčík,25,1994-05-04,172,66,Czech Republic,SK Slavia Praha
B. Gibson,Ben Gibson,26,1993-01-15,185,78,England,Burnley
Vadillo,Álvaro Vadillo Cifuentes,24,1994-09-12,180,70,Spain,Granada CF
P. Gouano,Prince-Désir Gouano,25,1993-12-24,186,78,France,Amiens SC
S. Prcić,Sanjin Prcić,25,1993-11-20,181,76,Bosnia Herzegovina,Levante UD
A. Webster,Adam Webster,24,1995-01-04,191,75,England,Brighton & Hove Albion
E. Krafth,Emil Krafth,24,1994-08-02,181,72,Sweden,Newcastle United
Dória,Matheus Dória Macedo,24,1994-11-08,188,82,Brazil,Santos Laguna
A. Baba,Abdul Rahman Baba,24,1994-07-02,179,70,Ghana,Chelsea
B. Verstraete,Birger Verstraete,25,1994-04-16,175,68,Belgium,1. FC Köln
Manquillo,Javier Manquillo Gaitán,25,1994-05-05,178,76,Spain,Newcastle United
B. Dack,Bradley Dack,25,1993-12-31,175,71,England,Blackburn Rovers
T. Mings,Tyrone Mings,26,1993-03-13,196,77,England,Aston Villa
J. Amavi,Jordan Amavi,25,1994-03-09,176,70,France,Olympique de Marseille
Bruno Varela,Bruno Miguel Semedo Varela,24,1994-11-04,191,87,Portugal,Ajax
F. Hadergjonaj,Florent Hadergjonaj,24,1994-07-31,182,73,Kosovo,Huddersfield Town
R. Thomas,Ryan Thomas,24,1994-12-20,174,64,New Zealand,PSV
J. Aholou,Jean-Eudes Aholou,25,1994-03-20,187,80,Ivory Coast,AS Saint-Étienne
A. Hack,Alexander Hack,25,1993-09-08,193,88,Germany,1. FSV Mainz 05
Iván Alejo,Iván Alejo Peralta,24,1995-02-10,184,76,Spain,Getafe CF
Pedro Sá,Pedro Miguel Cunha Sá,25,1993-12-01,175,70,Portugal,Portimonense SC
D. Hovorka,David Hovorka,25,1993-08-07,179,73,Czech Republic,SK Slavia Praha
M. Trávník,Michal Trávník,25,1994-05-17,174,68,Czech Republic,Sparta Praha
Bruno Lamas,Bruno José Pavani Lamas,25,1994-04-13,176,70,Brazil,Santa Clara
T. Kaminski,Thomas Kaminski,26,1992-10-23,190,80,Belgium,KAA Gent
R. Jack,Ryan Jack,27,1992-02-27,182,72,Scotland,Rangers FC
J. Rodríguez,José Antonio Rodríguez Romero,26,1992-07-04,186,85,Mexico,Guadalajara
J. Ananidze,Jano Ananidze,26,1992-10-10,171,64,Georgia,Spartak Moscow
B. Hamid,Bill Hamid,28,1990-11-25,191,102,United States,DC United
F. Rønnow,Frederik Rønnow,26,1992-08-04,190,77,Denmark,Eintracht Frankfurt
J. Geis,Johannes Geis,25,1993-08-17,181,81,Germany,1. FC Nürnberg
G. Caprari,Gianluca Caprari,25,1993-07-30,176,72,Italy,Sampdoria
Y. Ayoub,Yassin Ayoub,25,1994-03-06,174,70,Morocco,Feyenoord
D. Arslanagic,Dino Arslanagic,26,1993-04-24,191,87,Belgium,Royal Antwerp FC
J. Egan,John Egan,26,1992-10-20,188,75,Republic of Ireland,Sheffield United
S. Dioudis,Sokratis Dioudis,26,1993-02-03,189,75,Greece,Panathinaikos FC
Lucas Silva,Lucas Silva Borges,26,1993-02-16,182,80,Brazil,Real Madrid
J. Nsame,Jean-Pierre Nsame,26,1993-05-01,188,88,Cameroon,BSC Young Boys
M. Agu,Mikel Agu,26,1993-05-27,184,77,Nigeria,Vitória Guimarães
Rubén García,Rubén García Santos,25,1993-07-14,171,71,Spain,CA Osasuna
D. Heuer Fernandes,Daniel  Heuer Fernandes,26,1992-11-13,188,81,Portugal,Hamburger SV
Iuri Medeiros,Iuri José  Picanço Medeiros,24,1994-07-10,175,64,Portugal,1. FC Nürnberg
C. Njie,Clinton Mua N'Jie,25,1993-08-15,175,68,Cameroon,Cameroon
L. Diony,Loïs Diony,26,1992-12-20,183,82,France,AS Saint-Étienne
S. van Beek,Sven van Beek,24,1994-07-28,190,76,Netherlands,Feyenoord
L. Cavallini,Lucas Cavallini,26,1992-12-28,182,89,Canada,Puebla FC
D. Rolán,Diego Rolán,26,1993-03-24,177,72,Uruguay,Deportivo de La Coruña
F. Mora,Felipe Mora,25,1993-08-02,175,72,Chile,U.N.A.M.
R. Rey,Rodrigo Rey,28,1991-03-08,190,73,Argentina,Pachuca
Burgui,Jorge Franco Alviz,25,1993-10-29,184,75,Spain,Deportivo Alavés
C. Stanković,Cican Stanković,26,1992-11-04,186,80,Austria,FC Red Bull Salzburg
M. Tisserand,Marcel Tisserand,26,1993-01-10,190,80,DR Congo,VfL Wolfsburg
Kahraba,Mahmoud Abdelhamid Soliman,25,1994-04-13,182,76,Egypt,CD Aves
Chema Rodríguez,José Manuel Rodríguez Benito,27,1992-03-03,189,80,Spain,Nottingham Forest
K. Lawrence,Kemar Lawrence,26,1992-09-17,178,73,Jamaica,New York Red Bulls
Hélder Costa,Hélder Wander Sousa Azevedo Costa,25,1994-01-12,179,77,Portugal,Leeds United
Ivi,Iván López Álvarez,25,1994-06-29,175,75,Spain,SD Huesca
K. Dolly,Keagan Dolly,26,1993-01-22,170,70,South Africa,Montpellier HSC
J. Gallardo,Jesús Gallardo,24,1994-08-15,176,68,Mexico,Monterrey
A. González,Ángel González,25,1994-05-16,169,70,Argentina,Estudiantes de La Plata
Charles,Charles Marcelo da Silva,25,1994-02-04,186,84,Brazil,Clube Sport Marítimo
G. Cimirot,Gojko Cimirot,26,1992-12-19,178,74,Bosnia Herzegovina,Standard de Liège
A. Bouzat,Agustín Bouzat,25,1994-03-28,169,72,Argentina,Vélez Sarsfield
A. Bălută,Alexandru Bălută,25,1993-09-13,166,67,Romania,SK Slavia Praha
T. Holeš,Tomáš Holeš,26,1993-03-31,180,73,Czech Republic,SK Slavia Praha
H. Lindner,Heinz Lindner,28,1990-07-17,187,80,Austria,Austria
Daniel Ayala,Daniel Sánchez Ayala,28,1990-11-07,190,84,Spain,Middlesbrough
J. Bruma,Jeffrey Bruma,27,1991-11-13,190,88,Netherlands,VfL Wolfsburg
K. Babacar,Khouma El Hadji Babacar,26,1993-03-17,185,85,Senegal,Sassuolo
Jordi Amat,Jordi Amat Maas,27,1992-03-21,185,83,Spain,KAS Eupen
G. Trauner,Gernot Trauner,27,1992-03-25,183,82,Austria,LASK Linz
A. Cornelius,Andreas Evald Cornelius,26,1993-03-16,193,91,Denmark,Parma
E. Dilaver,Emir Dilaver,28,1991-05-07,184,82,Austria,Dinamo Zagreb
J. Ralls,Joe Ralls,25,1993-10-13,178,70,England,Cardiff City
Rubén Pardo,Rubén Pardo Gutiérrez,26,1992-10-22,181,69,Spain,Real Sociedad
R. Fredericks,Ryan Fredericks,26,1992-10-10,181,74,England,West Ham United
K. Roofe,Kemar Roofe,26,1993-01-06,178,65,England,RSC Anderlecht
S. Falette,Simon Falette,27,1992-02-19,184,91,Guinea,Eintracht Frankfurt
L. Vietto,Luciano Vietto,25,1993-12-05,175,70,Argentina,Sporting CP
F. Helander,Filip Helander,26,1993-04-22,192,84,Sweden,Rangers FC
D. Dessoleil,Dorian Dessoleil,26,1992-08-07,188,79,Belgium,Sporting de Charleroi
T. Letschert,Timo Letschert,26,1993-05-25,188,84,Netherlands,Hamburger SV
J. van Overeem,Joris van Overeem,25,1994-06-01,181,71,Netherlands,FC Utrecht
João Schmidt,João Felipe Schmidt Urbano,26,1993-05-19,183,83,Brazil,Nagoya Grampus
Cho Hyun Woo,조현우 崔永宇,27,1991-09-25,189,75,Korea Republic,Daegu FC
Diego Rico,Diego Rico Salguero,26,1993-02-23,183,76,Spain,Bournemouth
C. González,Carlos Gabriel González Espínola,26,1993-02-04,183,76,Paraguay,U.N.A.M.
B. Valdez,Bruno Valdez,26,1992-10-06,183,79,Paraguay,Club América
Maurício,Maurício de Carvalho António,27,1992-02-06,183,82,Brazil,Urawa Red Diamonds
João Victor,João Victor Santos Sá,25,1994-03-27,178,72,Brazil,VfL Wolfsburg
D. Saba,Dia Saba,26,1992-11-18,168,60,Israel,Guangzhou R&F FC
Oier,Oier Olazábal Paredes,29,1989-09-14,190,91,Spain,Levante UD
L. Cooper,Liam Cooper,27,1991-08-30,188,73,Scotland,Leeds United
F. Đuričić,Filip Đuričić,27,1992-01-30,181,75,Serbia,Sassuolo
L. Crisetig,Lorenzo Crisetig,26,1993-01-20,183,80,Italy,Bologna
S. Bell,Stefan Bell,27,1991-08-24,192,88,Germany,1. FSV Mainz 05
T. Sainsbury,Trent Sainsbury,27,1992-01-05,184,78,Australia,PSV
Diego Mariño,Diego Mariño Villar,29,1990-05-09,187,76,Spain,Real Sporting de Gijón
E. Sviatchenko,Erik Sviatchenko,27,1991-10-04,184,82,Denmark,FC Midtjylland
S. Kittel,Sonny Kittel,26,1993-01-06,179,76,Germany,Hamburger SV
G. Shinnie,Graeme Shinnie,27,1991-08-04,175,72,Scotland,Derby County
J. Schlupp,Jeffrey Schlupp,26,1992-12-23,178,72,Ghana,Crystal Palace
F. Viviani,Federico Viviani,27,1992-03-24,180,75,Italy,SPAL
O. Hiljemark,Oscar Hiljemark,27,1992-06-28,184,73,Sweden,Genoa
D. Foulquier,Dimitri Foulquier,26,1993-03-23,183,78,France,Watford
F. Hübner,Florian Hübner,28,1991-03-01,193,84,Germany,1. FC Union Berlin
S. Bahoken,Stéphane Bahoken,27,1992-05-28,185,88,Cameroon,Angers SCO
T. Delaine,Thomas Delaine,27,1992-03-24,180,70,France,FC Metz
Jairo,Jairo Samperio Bustara,25,1993-07-11,173,69,Spain,Hamburger SV
A. Ciciretti,Amato Ciciretti,25,1993-12-31,170,62,Italy,Napoli
J. Ferri,Jordan Ferri,27,1992-03-12,172,70,France,Montpellier HSC
J. Damm,Jürgen Damm,26,1992-11-07,185,70,Mexico,Tigres U.A.N.L.
E. Durm,Erik Durm,27,1992-05-12,183,72,Germany,Eintracht Frankfurt
J. Ramírez,Juan Edgardo Ramírez,26,1993-05-25,174,68,Argentina,San Lorenzo de Almagro
F. Zuqui,Fernando Zuqui,27,1991-11-27,170,65,Argentina,Club Atlético Colón
C. Lema,Cristian Lema,29,1990-03-24,191,90,Argentina,Newell's Old Boys
Álvaro García,Álvaro García Rivera,26,1992-10-27,168,59,Spain,Rayo Vallecano
Carlos Mané,Carlos Manuel Cardoso Mané,25,1994-03-11,173,68,Portugal,Rio Ave FC
S. Adamyan,Sargis Adamyan,26,1993-05-23,184,77,Armenia,TSG 1899 Hoffenheim
T. Hlatshwayo,Thulani Hlatshwayo,29,1989-12-18,188,88,South Africa,South Africa
A. Romero,Angel Romero,26,1992-07-04,176,73,Paraguay,San Lorenzo de Almagro
Z. Ferhat,Zinedine Ferhat,26,1993-03-01,183,77,Algeria,Nîmes Olympique
Munir,Munir Mohand Mohamedi,30,1989-05-10,190,89,Morocco,Málaga CF
H. Martín,Henry Josué Martín Mex,26,1992-11-18,177,73,Mexico,Club América
T. Goiginger,Thomas Goiginger,26,1993-03-15,181,69,Austria,LASK Linz
Fábio Martins,Fábio Santos Martins,25,1993-07-24,178,70,Portugal,Famalicão
G. Ferrari,Gian Marco Ferrari,27,1992-05-15,189,82,Italy,Sassuolo
M. Trauco,Miguel Trauco,26,1992-08-25,175,62,Peru,AS Saint-Étienne
J. Zmrhal,Jaromír Zmrhal,25,1993-08-02,189,79,Czech Republic,Brescia
G. Blanco Leschuk,Gustavo Ezequiel Blanco Leschuk,27,1991-11-05,190,88,Argentina,Shakhtar Donetsk
Felipe,Felipe Dias da Silva dal Belo,34,1984-07-31,188,75,Brazil,SPAL
Tarantini,Ricardo José Vaz Alves Monteiro,35,1983-10-07,188,78,Portugal,Rio Ave FC
R. Nuzzolo,Raphaël Nuzzolo,35,1983-07-05,175,73,Switzerland,Neuchâtel Xamax
Ricardo Costa,Ricardo Miguel Moreira da Costa,38,1981-05-16,184,82,Portugal,Boavista FC
L. Butelle,Ludovic Butelle,36,1983-04-03,188,84,France,Angers SCO
Y. Pelé,Yohann Pelé,36,1982-11-04,196,89,France,Olympique de Marseille
M. Rodríguez,Maximiliano Rubén Rodríguez,38,1981-01-02,180,79,Argentina,Newell's Old Boys
D. Benaglio,Diego Orlando Benaglio,35,1983-09-08,194,89,Switzerland,AS Monaco
R. Hubník,Roman Hubník,35,1984-06-06,193,90,Czech Republic,Viktoria Plzeň
F. Belluschi,Fernando Daniel Belluschi,35,1983-09-10,173,78,Argentina,San Lorenzo de Almagro
Dani Giménez,Daniel Giménez Hernández,35,1983-07-30,182,77,Spain,Deportivo de La Coruña
C. Maggio,Christian Maggio,37,1982-02-11,184,79,Italy,Benevento
F. Magnanelli,Francesco Magnanelli,34,1984-11-12,181,79,Italy,Sassuolo
R. Salin,Romain Jules Salin,34,1984-07-29,189,76,France,Stade Rennais FC
S. Davis,Steven Davis,34,1985-01-01,173,70,Northern Ireland,Rangers FC
A. Lennon,Aaron  Lennon,32,1987-04-16,165,63,England,Burnley
A. Talavera,Alfredo Talavera Díaz,36,1982-09-18,188,82,Mexico,Deportivo Toluca
I. Afellay,Ibrahim Afellay,33,1986-04-02,180,76,Netherlands,PSV
O. Peralta,Oribe Peralta Morones,35,1984-01-12,178,72,Mexico,Guadalajara
W. Janssen,Willem Janssen,32,1986-07-04,186,75,Netherlands,FC Utrecht
G. İnler,Gökhan İnler,35,1984-06-27,183,80,Switzerland,Medipol Başakşehir FK
Jurado,José Manuel Jurado Marín,33,1986-06-29,173,72,Spain,Cádiz CF
D. Padelli,Daniele Padelli,33,1985-10-25,191,82,Italy,Inter
B. Sharp,Billy Sharp,33,1986-02-05,175,70,England,Sheffield United
D. Limberský,David Limberský,35,1983-10-06,180,83,Czech Republic,Viktoria Plzeň
C. Davies,Curtis  Davies,34,1985-03-15,188,89,England,Derby County
S. Larsson,Sebastian Larsson,34,1985-06-06,178,70,Sweden,AIK
S. M'Bia,Stéphane M'Bia Etoundi,33,1986-05-20,187,87,Cameroon,Wuhan Zall
R. Vlaar,Ron Vlaar,34,1985-02-16,189,80,Netherlands,AZ Alkmaar
S. Sinclair,Scott Sinclair,30,1989-03-25,178,70,England,Celtic
S. Long,Shane  Long,32,1987-01-22,178,70,Republic of Ireland,Southampton
A. Ulmer,Andreas Ulmer,33,1985-10-30,175,73,Austria,FC Red Bull Salzburg
F. Bastians,Felix Bastians,31,1988-05-09,188,84,Germany,Tianjin TEDA FC
P. Aguilar,Paul Nicolás Aguilar Rojas,33,1986-03-06,180,67,Mexico,Club América
P. Mouche,Pablo Nicolás Mouche,31,1987-10-11,177,72,Argentina,Colo-Colo
M. Sow,Moussa Sow,33,1986-01-19,180,81,Senegal,Gazişehir Gaziantep F.K.
P. Hetemaj,Perparim Hetemaj,32,1986-12-12,175,76,Finland,Chievo Verona
Crespo,José Ángel Crespo Rincón,32,1987-02-09,185,74,Spain,PAOK
K. Westwood,Keiren Westwood,34,1984-10-23,187,86,Republic of Ireland,Sheffield Wednesday
O. Trejo,Óscar Guido Trejo,31,1988-04-26,180,79,Argentina,Rayo Vallecano
L. Cigarini,Luca Cigarini,33,1986-06-20,175,72,Italy,Cagliari
L. Antonelli,Luca Antonelli,32,1987-02-11,184,79,Italy,Empoli
Joselu,José Luis Sanmartín Mato,29,1990-03-27,192,80,Spain,Deportivo Alavés
M. Andújar,Mariano Gonzalo Andújar,35,1983-07-30,194,86,Argentina,Estudiantes de La Plata
Baiano,Wanderson  Souza Carneiro,32,1987-02-23,178,69,Brazil,Alanyaspor
K. Kamara,Kaiansu Kei Kamara,34,1984-09-01,188,75,Sierra Leone,Colorado Rapids
M. Erdinç,Mevlüt Erdinç,32,1987-02-25,181,84,Turkey,Medipol Başakşehir FK
S. Missiroli,Simone Missiroli,33,1986-05-23,191,77,Italy,SPAL
F. González,Federico Rafael González,32,1987-01-06,178,78,Argentina,Estudiantes de La Plata
Bojan,Bojan Krkić Pérez,28,1990-08-28,170,68,Spain,Montreal Impact
Nuno Coelho,Nuno Miguel Prata Coelho,31,1987-11-23,183,76,Portugal,Os Belenenses
B. Jokič,Bojan Jokič,33,1986-05-17,176,77,Slovenia,Slovenia
T. Reginiussen,Tore Reginiussen,33,1986-04-10,185,80,Norway,Rosenborg BK
H. Medunjanin,Haris Medunjanin,34,1985-03-08,188,76,Bosnia Herzegovina,Philadelphia Union
G. Svensson,Gustav Svensson,32,1987-02-07,184,77,Sweden,Seattle Sounders FC
T. Sippel,Tobias Sippel,31,1988-03-22,183,78,Germany,Borussia Mönchengladbach
N. Bertolo,Nicolás Santiago Bertolo,33,1986-01-02,179,75,Argentina,Club Atlético Banfield
G. Bong,Gaëtan Bong Songo,31,1988-04-25,183,74,Cameroon,Brighton & Hove Albion
